posted,neighborhood,listing_title,number_bedrooms,sqft,URL,price,clean_neighborhood
6/5/2020 16:35,1550 Filion,one month free*- St-Lambert - renovated - washer and dryer - 2 bed,2,,https://montreal.craigslist.org/apa/d/saint-lambert-one-month-free-st-lambert/7136510423.html?lang=en&cc=us,1445,Saint-Lambert
6/5/2020 16:15,Saint-Lambert,renovated - 2 bed - saint-lambert - washer/dryer  - Champlain Bridge,2,,https://montreal.craigslist.org/apa/d/greenfield-park-renovated-2-bed-saint/7135299299.html?lang=en&cc=us,1445,Saint-Lambert
6/5/2020 16:03,Mcgill Ghetto - Montréal,[Studio] Near McGill [Furnished] [Available Immediately],1,,https://montreal.craigslist.org/apa/d/montreal-studio-near-mcgill-furnished/7136489611.html?lang=en&cc=us,1100,McGill Ghetto
6/5/2020 15:56,Mcgill Ghetto - Montréal,[McGill Ghetto] [Nice Studio] [Furnished] [September 1st],,,https://montreal.craigslist.org/apa/d/montreal-mcgill-ghetto-nice-studio/7136484523.html?lang=en&cc=us,1100,McGill Ghetto
6/5/2020 15:25,Mcgill Ghetto - Montréal,[McGill Ghetto] [Studio] [New Furniture] [Available Immediately],1,,https://montreal.craigslist.org/apa/d/montreal-mcgill-ghetto-studio-new/7136464213.html?lang=en&cc=us,1000,McGill Ghetto
6/5/2020 15:58,Lasalle,Beautiful Condo Style 3-1/2,1,,https://montreal.craigslist.org/apa/d/lasalle-beautiful-condo-style-3-1-2/7129703123.html?lang=en&cc=us,1200,Lasalle
6/5/2020 15:57,Dorval,"3-1/2 spacious, quiet, cul-de-sac",1,,https://montreal.craigslist.org/apa/d/dorval-spacious-quiet-cul-de-sac/7134571860.html?lang=en&cc=us,980,Dorval
6/5/2020 15:32,Village,"Maison 10 CAC avec fenêtres, 3 SDB, tout inclus et meublé!",,,https://montreal.craigslist.org/apa/d/montreal-maison-10-cac-avec-fentres-3/7136468949.html?lang=en&cc=us,7000,Ville-Marie
6/5/2020 15:26,Mcgill Ghetto,"Summer: Fully furnished, all included 31/2",,,https://montreal.craigslist.org/apa/d/montreal-summer-fully-furnished-all/7136464959.html?lang=en&cc=us,1000,McGill Ghetto
6/5/2020 15:24,Rue St-Dominique,4 ½ - Condo situé au St-Dominique à Montréal,,,https://montreal.craigslist.org/apa/d/montreal-4-condo-situ-au-st-dominique/7136463576.html?lang=en&cc=us,550,Le Plateau
6/5/2020 15:22,"Côte-Des-Neiges, Montréal",Beau 3 1/2 rénové à louer sur Ridgewood,1,,https://montreal.craigslist.org/apa/d/cte-des-neiges-east-beau-rnov-louer-sur/7136462044.html?lang=en&cc=us,1100,Côte-Des-Neiges
6/5/2020 15:22,"Côte-Des-Neiges, Montréal",Grands 4 1/2 à louer sur Queen-Mary,2,,https://montreal.craigslist.org/apa/d/cte-des-neiges-southwest-grands-louer/7136461746.html?lang=en&cc=us,1400,Côte-Des-Neiges
6/5/2020 15:21,"Ahuntsic, Montréal",Grands 5 1/2 à louer sur Ahuntsic,3,,https://montreal.craigslist.org/apa/d/ahuntsic-southwest-grands-louer-sur/7136461478.html?lang=en&cc=us,1800,Ahuntsic
6/5/2020 15:15,Griffintown,***1 Month FREE *** 4 1/2 Griffintown Downtown Montreal,2,,https://montreal.craigslist.org/apa/d/griffintown-1-month-free-griffintown/7121812651.html?lang=en&cc=us,1950,Ville-Marie
6/5/2020 15:14,"Ville-Marie (Centre-Ville, Vieux-Montréal",Condo Apartment for Rent Downtown Montreal,2,,https://montreal.craigslist.org/apa/d/griffintown-condo-apartment-for-rent/7123849310.html?lang=en&cc=us,1950,Ville-Marie
6/5/2020 14:58,Villeray,"4.5, 2e ou 3e lumineux | Metro Fabre | Villeray",2,,https://montreal.craigslist.org/apa/d/montreal-45-2e-ou-3e-lumineux-metro/7132932584.html?lang=en&cc=us,925,Villeray
6/5/2020 14:58,Homa,2 bedroom apartment in homa! (virtual tour available),2,,https://montreal.craigslist.org/apa/d/montreal-2-bedroom-apartment-in-homa/7136444976.html?lang=en&cc=us,985,Hochelaga-Maisonneuve
6/5/2020 14:12,Rue St-Alexandre,complete furnished apartment all bills inclusive,,,https://montreal.craigslist.org/apa/d/montreal-complete-furnished-apartment/7136411196.html?lang=en&cc=us,550,Ville-Marie
